CCTV,Keterangan Laporan,Foto Laporan,Status,Tanggal lapor,Tanggal ditindaklanjuti(Complete),Kategori,Lat,Lng,Kelurahan,Kecamatan,Kota,Provinsi
CCTV1,CCTV Tanah Abang,http://202.51.112.91:805,ON,Realtime,Realtime,CCTV,-6.18933,106.813133,NON,NON,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
,,,,,,,,,,,,
